NIT,RAZÓN_SOCIAL,SUPERVISOR,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES,GANANCIA_PÉRDIDA,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO
899999068,ECOPETROL S.A,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,144.82,33.41,216.85,125.81,91.03
900112515,REFINERIA DE CARTAGENA S.A.S,SUPERSOCIEDADES,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,27.86,2.19,42.84,16.48,26.36
830095213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,23.6,0.33,7.48,4.47,3.01
860069804,CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,16.39,6.05,10.45,9.0,1.45
800021308,DRUMMOND LTD,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,15.27,2.16,14.27,6.34,7.93
890900608,ALMACENES EXITO S A,SUPERFINANCIERA,ANTIOQUIA,ENVIGADO-ANTIOQUIA,COMERCIO,15.13,0.1,14.85,7.62,7.23
890904996,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.,SUPERFINANCIERA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,15.07,3.04,59.47,30.24,29.23
900156264,NUEVA EPS S.A.,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,14.78,0.01,5.91,5.43,0.49
800153993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,14.63,1.79,23.43,14.67,8.76
900276962,D1 SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,13.96,0.29,4.9,4.75,0.15
890100577,AVIANCA,SUPERTRANSPORTE,BOGOTA D.C.,BOGOTÁ-BOGOTA D.C.,SERVICIOS,11.44,-0.8,17.89,19.33,-1.45
890900943,COLOMBIANA DE COMERCIO SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,11.14,0.34,6.14,3.96,2.18
860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,10.87,2.86,27.06,11.89,15.17
900818921,KOPPS COMMERCIAL SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,9.66,0.88,5.05,3.98,1.07
800088702,EPS SURA,SUPERSALUD,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,9.3,-0.14,2.1,1.87,0.24
800251440,E.P.S. SANITAS S.A.,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,8.72,-0.3,2.47,2.39,0.08
900480569,JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,8.62,-0.23,5.2,5.1,0.1
900531210,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,8.53,4.58,19.56,2.35,17.21
830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - TELEFONICA,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,7.86,-0.07,14.83,10.07,4.75
890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,ATLANTICO,BARRANQUILLA-ATLANTICO,COMERCIO,7.78,0.14,5.3,3.28,2.02
